               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.057888,             0.03419,            0.011947,             0.57433,             0.64567,              0.5991,             0.23953,            0.054176,            0.024991,           0.0095286,           0.0085691,           0.0085691,           0.0098691
                  76,            0.056713,            0.032927,             0.01177,             0.63396,             0.63321,             0.64014,             0.31454,            0.046137,             0.02516,            0.009649,           0.0086485,           0.0086485,           0.0086485
                  77,             0.05309,            0.034052,            0.011415,             0.66473,              0.6635,              0.6674,             0.33929,            0.043396,            0.024987,           0.0093408,           0.0086485,           0.0086485,           0.0086485
                  78,            0.053242,             0.03108,            0.011472,             0.72808,             0.66618,             0.72756,             0.35924,            0.042937,            0.025192,           0.0093617,           0.0086146,           0.0086146,           0.0086146
                  79,            0.050197,            0.034866,            0.011176,             0.71866,             0.65602,             0.71448,             0.38798,             0.04431,            0.024623,           0.0089531,           0.0085805,           0.0085805,           0.0085805
                  80,            0.049875,            0.034209,             0.01018,             0.68412,             0.70437,             0.73177,             0.39439,            0.045178,            0.024738,           0.0089408,           0.0085459,           0.0085459,           0.0085459
                  81,            0.054016,            0.034329,             0.01081,             0.74108,             0.67494,             0.70785,             0.35769,            0.044712,            0.024324,           0.0091674,           0.0085111,           0.0085111,           0.0085111
                  82,            0.053269,            0.032175,            0.010496,             0.71752,             0.69468,             0.71786,              0.3542,            0.047052,            0.024524,           0.0087274,           0.0084759,           0.0084759,           0.0084759
                  83,            0.050568,            0.032835,            0.010237,             0.73829,             0.69643,             0.73131,             0.37459,            0.044082,            0.024471,           0.0085126,           0.0084404,           0.0084404,           0.0084404
                  84,            0.049448,            0.033158,            0.010388,               0.706,             0.69269,             0.72471,              0.3901,            0.042003,            0.024503,           0.0087498,           0.0084046,           0.0084046,           0.0084046
                  85,            0.049682,            0.032911,            0.010423,             0.71984,             0.72853,             0.75459,             0.42403,            0.038599,            0.023438,           0.0086872,           0.0083684,           0.0083684,           0.0083684
                  86,             0.04867,            0.032726,            0.010717,             0.67846,             0.68677,             0.70803,             0.38751,            0.042007,            0.023717,           0.0085695,           0.0083319,           0.0083319,           0.0083319
                  87,            0.046864,            0.031502,           0.0098958,             0.76982,             0.65191,             0.72092,             0.38976,            0.041303,            0.023716,           0.0083252,           0.0082952,           0.0082952,           0.0082952
                  88,            0.047151,            0.032633,            0.010017,             0.79576,             0.67516,             0.76203,             0.42655,            0.038906,            0.023951,           0.0084448,           0.0082581,           0.0082581,           0.0082581
                  89,            0.049372,            0.031627,            0.010197,             0.74996,             0.71037,             0.74616,             0.40404,            0.040136,            0.023867,           0.0082936,           0.0082207,           0.0082207,           0.0082207
                  90,            0.048324,            0.032867,            0.010121,             0.81178,             0.70611,             0.77417,             0.43916,            0.039284,             0.02348,           0.0082398,            0.008183,            0.008183,            0.008183
                  91,            0.049733,            0.033905,            0.009285,             0.69691,              0.7183,             0.74208,              0.3687,            0.047288,             0.02452,           0.0079342,            0.008145,            0.008145,            0.008145
                  92,            0.053038,            0.032956,           0.0098826,             0.74428,             0.70954,             0.75727,              0.4052,            0.041651,            0.024085,           0.0078789,           0.0081068,           0.0081068,           0.0081068
                  93,            0.050564,            0.033119,           0.0098259,             0.81618,             0.69651,             0.77127,             0.42539,            0.038036,            0.023198,           0.0077243,           0.0080682,           0.0080682,           0.0080682
                  94,            0.049661,             0.03254,           0.0091084,              0.6995,             0.70587,             0.74591,             0.38557,            0.040317,             0.02315,           0.0077172,           0.0080294,           0.0080294,           0.0080294
                  95,             0.04645,            0.034091,           0.0094068,             0.76664,              0.7017,             0.77098,             0.40684,            0.041508,            0.023232,           0.0076107,           0.0079903,           0.0079903,           0.0079903
                  96,            0.046984,            0.031039,            0.008634,             0.80907,               0.726,             0.79497,             0.44839,            0.040553,            0.023026,           0.0076263,           0.0079509,           0.0079509,           0.0079509
                  97,            0.048303,            0.031589,           0.0094014,             0.82595,             0.75619,             0.81583,             0.46969,            0.036737,            0.022905,            0.007505,           0.0079112,           0.0079112,           0.0079112
                  98,            0.048889,            0.031398,            0.009312,             0.81657,             0.73664,             0.79702,             0.43563,            0.040671,            0.022963,           0.0074183,           0.0078713,           0.0078713,           0.0078713
                  99,            0.045164,            0.032109,           0.0089472,             0.82356,             0.76626,             0.81989,              0.4627,            0.038254,            0.022866,           0.0072771,           0.0078311,           0.0078311,           0.0078311
                 100,            0.044053,            0.033687,           0.0079848,             0.77923,             0.76959,             0.81525,             0.48354,            0.035508,            0.022231,           0.0072433,           0.0077907,           0.0077907,           0.0077907
                 101,            0.044572,            0.031155,           0.0082651,              0.8274,             0.76997,             0.82619,             0.48229,            0.038196,            0.022491,           0.0073302,             0.00775,             0.00775,             0.00775
                 102,            0.047172,            0.032738,           0.0082467,             0.79093,             0.77804,             0.82095,             0.49848,            0.037556,            0.022488,           0.0072459,           0.0077091,           0.0077091,           0.0077091
                 103,            0.043542,             0.03127,           0.0086093,             0.84877,             0.74261,             0.82156,             0.49374,            0.037571,            0.022374,           0.0070307,           0.0076679,           0.0076679,           0.0076679
                 104,            0.043495,            0.029085,           0.0087173,             0.83897,             0.75767,             0.82998,             0.50514,            0.036689,             0.02247,           0.0069744,           0.0076265,           0.0076265,           0.0076265
                 105,            0.044445,            0.032654,           0.0086913,             0.86573,             0.77422,             0.83842,             0.53024,            0.034644,            0.022207,           0.0070235,           0.0075848,           0.0075848,           0.0075848
                 106,            0.044461,            0.032213,           0.0081227,             0.85109,             0.77993,             0.83906,             0.52489,             0.03746,            0.022074,           0.0067498,            0.007543,            0.007543,            0.007543
                 107,            0.041133,            0.030652,           0.0086557,             0.87349,             0.78678,             0.84502,              0.5325,            0.034412,            0.022007,           0.0066041,           0.0075009,           0.0075009,           0.0075009
                 108,            0.040606,            0.030049,           0.0079375,             0.86155,             0.77447,             0.83535,             0.51933,            0.035456,            0.021926,           0.0065052,           0.0074585,           0.0074585,           0.0074585
                 109,            0.043489,            0.031924,           0.0082809,             0.86815,             0.78768,             0.84867,             0.54726,            0.033679,            0.021786,           0.0063914,            0.007416,            0.007416,            0.007416
                 110,            0.041448,            0.029666,           0.0081709,             0.85348,             0.78997,             0.84837,             0.51976,             0.03404,             0.02153,           0.0064377,           0.0073733,           0.0073733,           0.0073733
                 111,            0.042236,            0.031407,           0.0078922,             0.86664,              0.7818,             0.84493,             0.51557,            0.035696,            0.021674,            0.006441,           0.0073303,           0.0073303,           0.0073303
                 112,            0.042225,            0.030343,           0.0075784,             0.85821,             0.78278,             0.83933,             0.52322,            0.035509,            0.021701,           0.0063129,           0.0072872,           0.0072872,           0.0072872
                 113,            0.046018,            0.031079,            0.007612,             0.85074,             0.81521,              0.8589,              0.5473,            0.034653,            0.021549,           0.0062151,           0.0072438,           0.0072438,           0.0072438
                 114,            0.040843,            0.028849,           0.0071844,             0.87468,             0.80636,             0.85313,             0.52408,            0.034878,            0.021325,           0.0061734,           0.0072003,           0.0072003,           0.0072003
                 115,            0.042197,             0.02848,           0.0074963,             0.85245,             0.81621,             0.85065,             0.50882,            0.036827,             0.02145,           0.0061918,           0.0071566,           0.0071566,           0.0071566
                 116,            0.042502,            0.031947,           0.0073573,             0.92087,             0.78864,             0.85681,             0.54214,            0.033169,            0.021133,           0.0061096,           0.0071127,           0.0071127,           0.0071127
                 117,            0.040886,            0.029423,           0.0079089,             0.92336,             0.79564,             0.86381,             0.52812,            0.033793,            0.021282,           0.0060561,           0.0070686,           0.0070686,           0.0070686
                 118,            0.043451,            0.030674,           0.0066818,             0.89096,             0.80663,             0.84727,              0.5172,            0.035293,            0.021347,           0.0059862,           0.0070243,           0.0070243,           0.0070243
                 119,            0.040895,            0.029187,            0.007237,             0.94298,             0.78085,             0.86977,             0.53129,            0.033387,            0.021242,            0.005721,           0.0069799,           0.0069799,           0.0069799
                 120,            0.040708,            0.029643,           0.0078709,             0.93997,             0.81004,             0.87758,             0.56097,            0.032478,             0.02102,           0.0056314,           0.0069353,           0.0069353,           0.0069353
                 121,            0.043101,              0.0317,           0.0067698,             0.91402,              0.8213,             0.88334,             0.56466,            0.032877,            0.021341,           0.0056718,           0.0068906,           0.0068906,           0.0068906
                 122,            0.042907,            0.030444,           0.0071197,             0.94169,             0.81096,             0.88235,             0.53399,            0.034789,            0.021403,           0.0056121,           0.0068457,           0.0068457,           0.0068457
                 123,            0.040154,            0.028836,           0.0070873,              0.9094,             0.81872,             0.88005,              0.5743,            0.032872,            0.021211,           0.0055164,           0.0068006,           0.0068006,           0.0068006
                 124,            0.038771,            0.029528,           0.0068313,             0.92109,             0.81863,             0.88485,             0.58415,            0.032316,            0.020912,           0.0053355,           0.0067555,           0.0067555,           0.0067555
                 125,            0.040435,            0.032315,           0.0066198,             0.90301,             0.82894,             0.88321,             0.56746,            0.032563,            0.021103,           0.0052348,           0.0067101,           0.0067101,           0.0067101
                 126,            0.040677,            0.032004,            0.007051,             0.91437,             0.80115,             0.87429,              0.5405,            0.034049,            0.021113,           0.0052969,           0.0066647,           0.0066647,           0.0066647
                 127,            0.038653,            0.027826,           0.0063459,             0.96578,             0.79649,             0.87931,              0.5674,            0.032191,            0.020806,           0.0051484,           0.0066191,           0.0066191,           0.0066191
                 128,            0.038742,            0.029043,           0.0064559,             0.95676,             0.80101,             0.88021,             0.56094,            0.032599,            0.020812,           0.0050015,           0.0065734,           0.0065734,           0.0065734
                 129,            0.040071,            0.028229,           0.0062528,             0.93931,             0.81723,             0.88542,             0.57289,            0.032483,            0.020897,           0.0050123,           0.0065276,           0.0065276,           0.0065276
                 130,            0.042796,            0.030081,           0.0063999,             0.92725,             0.80676,             0.86918,             0.51018,            0.036217,              0.0208,           0.0049446,           0.0064816,           0.0064816,           0.0064816
                 131,             0.04048,            0.030934,           0.0067639,             0.94774,             0.82671,             0.89339,             0.59734,            0.030707,            0.020204,           0.0049642,           0.0064356,           0.0064356,           0.0064356
                 132,            0.036272,            0.027801,           0.0061647,              0.9438,             0.83192,             0.89196,             0.60316,            0.030685,            0.020129,           0.0048536,           0.0063895,           0.0063895,           0.0063895
                 133,            0.039075,            0.029466,           0.0061251,             0.93327,             0.83552,             0.88863,             0.57479,            0.031094,            0.020105,           0.0048137,           0.0063432,           0.0063432,           0.0063432
                 134,            0.040565,            0.029198,           0.0067696,             0.94789,             0.81977,              0.8917,             0.56031,            0.033113,            0.020567,           0.0048261,           0.0062969,           0.0062969,           0.0062969
                 135,            0.037121,            0.026656,           0.0059361,             0.94245,             0.82808,             0.88929,              0.5816,            0.030854,            0.020141,           0.0046854,           0.0062505,           0.0062505,           0.0062505
                 136,            0.036071,            0.028333,           0.0059423,             0.93734,             0.83692,             0.89499,             0.58059,             0.03099,            0.020091,           0.0044892,            0.006204,            0.006204,            0.006204
                 137,             0.03772,            0.029185,           0.0056667,              0.9423,             0.83285,             0.88774,               0.579,            0.030548,            0.019926,           0.0044352,           0.0061574,           0.0061574,           0.0061574
                 138,            0.038668,            0.026689,           0.0061998,             0.95376,             0.81431,             0.89282,             0.57002,            0.031963,             0.01995,           0.0045164,           0.0061107,           0.0061107,           0.0061107
                 139,             0.03871,            0.030602,           0.0057295,             0.93242,             0.81519,             0.88506,             0.56793,            0.031415,            0.019964,           0.0046339,            0.006064,            0.006064,            0.006064
                 140,            0.037175,            0.030466,            0.006195,             0.95912,             0.82515,             0.89365,             0.60551,            0.029318,            0.019711,           0.0046045,           0.0060172,           0.0060172,           0.0060172
                 141,            0.038177,            0.028387,           0.0057413,             0.91805,             0.83974,              0.8912,             0.58163,            0.030115,            0.019705,           0.0045734,           0.0059704,           0.0059704,           0.0059704
                 142,            0.038129,            0.029369,           0.0056591,             0.93913,             0.84456,             0.89459,             0.57484,            0.031357,            0.019835,             0.00455,           0.0059235,           0.0059235,           0.0059235
                 143,            0.036052,            0.028095,           0.0053894,              0.9256,             0.83282,             0.89071,              0.5989,            0.030765,            0.019734,           0.0044602,           0.0058766,           0.0058766,           0.0058766
                 144,            0.035669,            0.026666,           0.0054792,             0.95492,             0.82891,             0.89586,             0.57762,            0.031368,            0.019744,           0.0043416,           0.0058296,           0.0058296,           0.0058296
                 145,            0.040559,            0.028649,           0.0059152,             0.95494,             0.83319,             0.90345,             0.60366,            0.030383,            0.019516,           0.0043022,           0.0057826,           0.0057826,           0.0057826
                 146,            0.038807,            0.027878,           0.0056114,             0.95585,             0.83745,             0.90284,             0.57885,            0.031643,            0.019737,           0.0042855,           0.0057355,           0.0057355,           0.0057355
                 147,            0.036302,            0.029042,           0.0056782,             0.96604,             0.84164,             0.91261,             0.61124,             0.03006,            0.019569,            0.004264,           0.0056884,           0.0056884,           0.0056884
                 148,            0.035731,            0.026083,           0.0061598,              0.9736,             0.83718,             0.91076,             0.61402,            0.029745,            0.019519,           0.0042084,           0.0056413,           0.0056413,           0.0056413
                 149,            0.037588,            0.028442,           0.0056175,              0.9592,              0.8434,             0.90131,             0.61011,            0.029052,            0.019328,           0.0042558,           0.0055942,           0.0055942,           0.0055942
                 150,            0.037296,            0.028811,           0.0055579,             0.95934,             0.82973,             0.89268,             0.60281,            0.030123,            0.019361,           0.0042882,           0.0055471,           0.0055471,           0.0055471
                 151,            0.037514,            0.027171,           0.0056342,             0.96697,             0.82413,             0.90062,              0.6199,            0.029264,            0.019215,           0.0041726,              0.0055,              0.0055,              0.0055
                 152,            0.035697,            0.027604,           0.0057215,             0.95937,              0.8255,             0.89941,             0.63198,            0.028325,            0.019023,           0.0041243,           0.0054529,           0.0054529,           0.0054529
                 153,            0.037293,            0.028624,           0.0056053,             0.96471,               0.825,             0.90375,             0.61836,            0.029366,            0.019245,           0.0040323,           0.0054058,           0.0054058,           0.0054058
                 154,            0.037322,            0.028053,           0.0055884,             0.91448,             0.83692,             0.89487,             0.57236,            0.030591,            0.019537,           0.0039675,           0.0053587,           0.0053587,           0.0053587
                 155,            0.036239,            0.028228,           0.0054688,             0.96321,             0.84399,             0.91052,             0.61882,            0.028425,            0.019131,           0.0039744,           0.0053116,           0.0053116,           0.0053116
                 156,            0.034382,            0.029179,           0.0057487,             0.96204,             0.84628,             0.90849,             0.64451,             0.02719,            0.018812,           0.0039831,           0.0052645,           0.0052645,           0.0052645
                 157,            0.035686,            0.024856,            0.005312,             0.95447,             0.84113,              0.9021,             0.60854,             0.02897,            0.019231,           0.0040609,           0.0052174,           0.0052174,           0.0052174
                 158,            0.038605,            0.027507,           0.0056092,             0.92672,             0.84271,              0.9011,              0.6088,            0.029875,             0.01958,           0.0041499,           0.0051704,           0.0051704,           0.0051704
